1000

Ar	-3.42	-1.97454	-1.39621
Ar	-3.23	-1.86484	-1.08594
Ar	-3.04	-1.75514	-0.775672
Ar	-2.85	-1.64545	-0.465403
Ar	-2.66	-1.53575	-0.155134
Ar	-2.47	-1.42606	0.155134
Ar	-2.28	-1.31636	0.465403
Ar	-2.09	-1.20666	0.775672
Ar	-1.9	-1.09697	1.08594
Ar	-1.71	-0.987269	1.39621
Ar	-3.23	-1.64545	-1.39621
Ar	-3.04	-1.53575	-1.08594
Ar	-2.85	-1.42606	-0.775672
Ar	-2.66	-1.31636	-0.465403
Ar	-2.47	-1.20666	-0.155134
Ar	-2.28	-1.09697	0.155134
Ar	-2.09	-0.987269	0.465403
Ar	-1.9	-0.877572	0.775672
Ar	-1.71	-0.767876	1.08594
Ar	-1.52	-0.658179	1.39621
Ar	-3.04	-1.31636	-1.39621
Ar	-2.85	-1.20666	-1.08594
Ar	-2.66	-1.09697	-0.775672
Ar	-2.47	-0.987269	-0.465403
Ar	-2.28	-0.877572	-0.155134
Ar	-2.09	-0.767876	0.155134
Ar	-1.9	-0.658179	0.465403
Ar	-1.71	-0.548483	0.775672
Ar	-1.52	-0.438786	1.08594
Ar	-1.33	-0.32909	1.39621
Ar	-2.85	-0.987269	-1.39621
Ar	-2.66	-0.877572	-1.08594
Ar	-2.47	-0.767876	-0.775672
Ar	-2.28	-0.658179	-0.465403
Ar	-2.09	-0.548483	-0.155134
Ar	-1.9	-0.438786	0.155134
Ar	-1.71	-0.32909	0.465403
Ar	-1.52	-0.219393	0.775672
Ar	-1.33	-0.109697	1.08594
Ar	-1.14	0	1.39621
Ar	-2.66	-0.658179	-1.39621
Ar	-2.47	-0.548483	-1.08594
Ar	-2.28	-0.438786	-0.775672
Ar	-2.09	-0.32909	-0.465403
Ar	-1.9	-0.219393	-0.155134
Ar	-1.71	-0.109697	0.155134
Ar	-1.52	0	0.465403
Ar	-1.33	0.109697	0.775672
Ar	-1.14	0.219393	1.08594
Ar	-0.95	0.32909	1.39621
Ar	-2.47	-0.32909	-1.39621
Ar	-2.28	-0.219393	-1.08594
Ar	-2.09	-0.109697	-0.775672
Ar	-1.9	0	-0.465403
Ar	-1.71	0.109697	-0.155134
Ar	-1.52	0.219393	0.155134
Ar	-1.33	0.32909	0.465403
Ar	-1.14	0.438786	0.775672
Ar	-0.95	0.548483	1.08594
Ar	-0.76	0.658179	1.39621
Ar	-2.28	0	-1.39621
Ar	-2.09	0.109697	-1.08594
Ar	-1.9	0.219393	-0.775672
Ar	-1.71	0.32909	-0.465403
Ar	-1.52	0.438786	-0.155134
Ar	-1.33	0.548483	0.155134
Ar	-1.14	0.658179	0.465403
Ar	-0.95	0.767876	0.775672
Ar	-0.76	0.877572	1.08594
Ar	-0.57	0.987269	1.39621
Ar	-2.09	0.32909	-1.39621
Ar	-1.9	0.438786	-1.08594
Ar	-1.71	0.548483	-0.775672
Ar	-1.52	0.658179	-0.465403
Ar	-1.33	0.767876	-0.155134
Ar	-1.14	0.877572	0.155134
Ar	-0.95	0.987269	0.465403
Ar	-0.76	1.09697	0.775672
Ar	-0.57	1.20666	1.08594
Ar	-0.38	1.31636	1.39621
Ar	-1.9	0.658179	-1.39621
Ar	-1.71	0.767876	-1.08594
Ar	-1.52	0.877572	-0.775672
Ar	-1.33	0.987269	-0.465403
Ar	-1.14	1.09697	-0.155134
Ar	-0.95	1.20666	0.155134
Ar	-0.76	1.31636	0.465403
Ar	-0.57	1.42606	0.775672
Ar	-0.38	1.53575	1.08594
Ar	-0.19	1.64545	1.39621
Ar	-1.71	0.987269	-1.39621
Ar	-1.52	1.09697	-1.08594
Ar	-1.33	1.20666	-0.775672
Ar	-1.14	1.31636	-0.465403
Ar	-0.95	1.42606	-0.155134
Ar	-0.76	1.53575	0.155134
Ar	-0.57	1.64545	0.465403
Ar	-0.38	1.75514	0.775672
Ar	-0.19	1.86484	1.08594
Ar	0	1.97454	1.39621
Ar	-3.04	-1.97454	-1.39621
Ar	-2.85	-1.86484	-1.08594
Ar	-2.66	-1.75514	-0.775672
Ar	-2.47	-1.64545	-0.465403
Ar	-2.28	-1.53575	-0.155134
